Bill of Materials
count,name,individual cost,total cost,website
17,5.2mm - Sande Plywood, $ 22.92, $ 389.64, https://www.homedepot.com/p/Sandeply-5-2mm-Sande-Plywood-1-4-in-Category-Common-1-4-in-x-4-ft-x-8-ft-Actual-0-205-in-x-48-in-x-96-in-479023/203414042
6,36 in. x 36 in. Plain Aluminum Sheet in Silver, $ 21.98, $ 131.88, https://www.homedepot.com/p/M-D-Building-Products-36-in-x-36-in-Plain-Aluminum-Sheet-in-Silver-57000/100351161
11,WeiMeet RFP30N06LE 30A 60V N-Channel Power Mosfet TO-220 ESD Rated for Arduino(10 Pieces), $ 9.99, $ 109.89, https://www.amazon.com/WeiMeet-RFP30N06LE-N-Channel-Mosfet-Arduino/dp/B07CTF1JVD/ref=sr_1_1_sspa?keywords=mosfet&qid=1556910186&s=gateway&sr=8-1-spons&psc=1
1,3 in. Crackle Tube, $ 1620.00, $ 1620.00, https://strattman.com/crackle-tubes/
1,Power Supply, $ 475.00, $ 475.00, https://strattman.com/plasma-tubes/
2,TCL 55S405 55-Inch 4K Ultra HD Roku Smart LED TV, $ 329.99, $ 659.98, https://www.amazon.com/TCL-55S405-55-Inch-Ultra-Smart/dp/B01MTGM5I9/ref=sr_1_1_sspa?keywords=tv&qid=1556913928&refinements=p_n_size_browse-bin%3A3578042011&rnid=1232878011&s=electronics&sr=1-1-spons&psc=1
1,TCL 40S325 40 Inch 1080p Smart LED Roku TV (2019), $ 199.99, $ 199.99, https://www.amazon.com/TCL-40S325-Inch-1080p-Smart/dp/B07GB61TQR/ref=sr_1_3?keywords=smart+tv&qid=1556915173&refinements=p_n_size_browse-bin%3A3578041011&rnid=1232878011&s=electronics&sr=1-3
2,VideoSecu ML531BE TV Wall Mount for Most 27-55 LED, $ 25.00, $ 50.00, https://www.amazon.com/VideoSecu-ML531BE-Monitor-Articulating-Extension/dp/B000WYVBR0/ref=pd_bxgy_504_img_2/134-9040081-1883040?_encoding=UTF8&pd_rd_i=B000WYVBR0&pd_rd_r=e2db9aa8-6de2-11e9-8500-7b430b359b4b&pd_rd_w=bupwE&pd_rd_wg=2DYGA&pf_rd_p=a2006322-0bc0-4db9-a08e-d168c18ce6f0&pf_rd_r=V29FPBGAS3AK8CH4ARJS&psc=1&refRID=V29FPBGAS3AK8CH4ARJS
385,Dart Ceiling Tiles, $ 1.74, $ 669.90, https://www.ceilume.com/tiles/Dart/Black/
116,Polyline Ceiling Tiles, $ 1.74, $ 201.84, https://www.ceilume.com/tiles/Polyline/Black/
8,Muzata 40 Pack 1M/3.3ft Black Aluminum LED Channel System U1BW, $ 109.99, $ 879.92, https://www.amazon.com/Muzata-Aluminum-Accessories-Installation-U1BW/dp/B07FQ6LQF8/ref=sr_1_3?keywords=Muzata+U1BW&qid=1556920009&s=industrial&sr=1-3-catcorr
3,Pyle PDIC81RDBK  8'' Ceiling Wall Mount Speakers, $ 45.80, $ 137.40, https://www.amazon.com/Pyle-PDIC81RDBK-Ceiling-Mount-Speakers/dp/B00E94H3QC/ref=sr_1_4?crid=2M7BV27IVPYQ&keywords=black+ceiling+speakers&qid=1557151934&s=gateway&sprefix=black+speaker+in+ceiling+%2Caps%2C189&sr=8-4
2,AmazonBasics SW100ft 16-Gauge Speaker Wire - 100 Feet, $ 11.99, $ 23.98, https://www.amazon.com/AmazonBasics-16-Gauge-Speaker-Wire-Feet/dp/B006LW0W5Y/ref=pd_bxgy_23_img_2/134-9040081-1883040?_encoding=UTF8&pd_rd_i=B006LW0W5Y&pd_rd_r=ffb6a639-7008-11e9-9f57-c98fbdd56605&pd_rd_w=W3N2A&pd_rd_wg=dXRyh&pf_rd_p=a2006322-0bc0-4db9-a08e-d168c18ce6f0&pf_rd_r=JVT5ZDBSGYXP28K2VP9J&psc=1&refRID=JVT5ZDBSGYXP28K2VP9J
1,Lepy LP-V9S Hi-Fi Stereo Power Digital Amplifier, $ 29.99, $ 29.99, https://www.amazon.com/gp/product/B00L8O8WK2/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
2,Audio-Technica PRO 44 Cardioid Condenser Boundary Microphone, $ 99.00, $ 198.00, https://www.amazon.com/gp/product/B0002BBOOS/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
1,DTOL 3.5mm Male Audio Video Extension Cable RCA Male Extension 3.5mm To RCA Cable, $ 4.90, $ 4.90, https://www.amazon.com/gp/product/B00004Z5CP/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
1,GLS Audio 6 Inch Patch Y Cable Cords, $ 9.95, $ 9.95, https://www.amazon.com/gp/product/B0061OPQK8/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
1,Male to Female Stereo Audio Headphone Jack Adapter, $ 8.49, $ 8.49, https://www.amazon.com/gp/product/B016E5PEXC/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
1,Behringer Xenyx 802 Premium 8-Input 2-Bus Mixer, $ 65.99, $ 65.99, https://www.amazon.com/gp/product/B000J5XS3C/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
1,Amcrest Prohd 1080P 4CH Video Home Security Camera System, $ 219.99, $ 219.99, https://www.amazon.com/gp/product/B00YZF7PEU/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1
4,4K HDMI Cable 25ft-HDMI 2.0, $ 28.99, $ 115.96, https://www.amazon.com/25ft-HDMI-Supports-Ethernet-Return-CL3-Installation/dp/B01HFSAFP4/ref=sr_1_1_sspa?crid=QR2FO83JJPCF&keywords=hdmi+cable&qid=1557152775&refinements=p_n_feature_keywords_four_browse-bin%3A7800973011&rnid=7623517011&s=aht&sprefix=hdmi+ca%2Caps%2C235&sr=1-1-spons&psc=1
1,8 oz. Metallic Sterling Silver Paint, $ 9.98, $ 9.98, https://www.homedepot.com/p/Americana-Decor-8-oz-Metallic-Sterling-Silver-Paint-ADMTL07-98/300903278?storeSelection=4416,4407,4417,4409,8566
1,56 x 34.6 in Poster, $ 100.00, $ 100.00, https://posterprintshop.com/pricing/
7,Nilight Heavy Duty Rocker Toggle Switch, $ 9.36, $ 65.52, https://www.amazon.com/Nilight-Rocker-Toggle-Switch-Waterproof/dp/B078KBC5VH/ref=sr_1_3?crid=2XQREJRP3FCWG&keywords=toggle+switch&qid=1557153529&s=industrial&sprefix=toggle+sw%2Cindustrial%2C181&sr=1-3
1,Nilight 50098R 6Pin Heavy Duty Rocker Toggle, $ 10.80, $ 10.80, https://www.amazon.com/Nilight-Rocker-Toggle-Switch-Waterproof/dp/B0002ZPBRA/ref=sr_1_3?crid=2XQREJRP3FCWG&keywords=toggle%2Bswitch&qid=1557153529&s=industrial&sprefix=toggle%2Bsw%2Cindustrial%2C181&sr=1-3&th=1
2,Safety Cover Toggle Switch with Red Indicator Light, $ 15.94, $ 31.88, https://www.amazon.com/Pilot-Automotive-PL-SW52CR-Performance-Indicator/dp/B00AWYCAJS/ref=pd_sim_b2b_1/139-2918774-4109815?_encoding=UTF8&pd_rd_i=B00AWYCAJS&pd_rd_r=1494e9b0-700d-11e9-8254-d7002cb5b05b&pd_rd_w=cIwif&pd_rd_wg=iltX4&pf_rd_p=a07701e4-f565-442a-b97f-93ab23cbb7ef&pf_rd_r=8032N17YJCYQXSNDFP8K&psc=1&refRID=8032N17YJCYQXSNDFP8K
1,Momentary Push Button Switch, $ 9.96, $ 9.96, https://www.amazon.com/Momentary-URTONE-Stainless-Suitable-Mounting/dp/B077PHGXZR/ref=sr_1_21?keywords=robust+button&qid=1557153394&s=industrial&sr=1-21
1,2pcs Rotary Taper Potentiometer, $ 11.88, $ 11.88, https://www.amazon.com/RV24YN20S-Potentiometer-Inverter-regulation-control/dp/B0795Q97C1/ref=sr_1_21?crid=13S9OL6R22L7A&keywords=rotary%2Bpotentiometer&qid=1557154036&s=industrial&sprefix=rotary%2Bpo%2Cindustrial%2C178&sr=1-21&th=1
1,CanaKit Raspberry Pi 3 B+ (B Plus) with Premium Clear Case and 2.5A Power Supply, $ 54.99, $ 54.99, https://www.amazon.com/CanaKit-Raspberry-Premium-Clear-Supply/dp/B07BC7BMHY/ref=sr_1_1?keywords=raspberry+pi&qid=1557791643&s=gateway&sr=8-1
3,25 ft. 16/3 Light-Duty Indoor/Outdoor Extension Cord, $ 9.97, $ 29.91, https://www.homedepot.com/p/HDX-25-ft-16-3-Light-Duty-Indoor-Outdoor-Extension-Cord-HD-277-509/202523959
1,Belker Universal 3V 4.5V 5V 6V 7.5V 9V 12V AC DC Adapter, $ 11.90, $ 11.90, https://www.amazon.com/Belker-Universal-Household-Electronics-Speakers/dp/B072L81WX8/ref=sr_1_2?crid=24YY2OJUBTZTJ&keywords=variable+voltage+adapter&qid=1557790909&s=gateway&sprefix=variable+voltage+adap%2Caps%2C177&sr=8-2
1,Sceptre E205W-1600 20 in 75Hz Ultra Thin LED Monitor, $ 69.99, $ 69.99, https://www.amazon.com/Sceptre-E205W-1600-Monitor-Speakers-Metallic/dp/B00S8W8QMG/ref=sr_1_5?keywords=small+tv+monitor&qid=1557350475&s=gateway&sr=8-5
1,20 in. Tread Plate Metal Mobile Tool Box, $ 27.97, $ 27.97, https://www.homedepot.com/p/Husky-20-in-Tread-Plate-Metal-Mobile-Tool-Box-TB-520/202279042
1,3'1/8 80mm Thermal Receipt POS Printer, $ 118.40, $ 118.40, https://www.amazon.com/Thermal-Receipt-Printer-MUNBYN-Ethernet/dp/B07585DZLW/ref=sr_1_1_sspa?crid=11A2ACXPBXG3W&keywords=receipt%2Bprinter&qid=1557154286&s=gateway&sprefix=recipt%2Bpri%2Cindustrial%2C191&sr=8-1-spons&th=1
1,Gorilla Supply Thermal Receipt Paper Rolls 3 1/8, $ 19.36, $ 19.36, https://www.amazon.com/Gorilla-Supply-Thermal-Receipt-Paper/dp/B00AN5QFUG/ref=pd_bxgy_229_img_2/139-2918774-4109815?_encoding=UTF8&pd_rd_i=B00AN5QFUG&pd_rd_r=1f420013-700f-11e9-93e4-9f5b0bbd650f&pd_rd_w=tNhcN&pd_rd_wg=ReDa7&pf_rd_p=a2006322-0bc0-4db9-a08e-d168c18ce6f0&pf_rd_r=VFC4K5GVFWD70AFRFGDS&psc=1&refRID=VFC4K5GVFWD70AFRFGDS
1,10 Pack Male to Male Stereo Audio Aux Cable, $ 30.75, $ 30.75, https://www.amazon.com/AmazonBasics-3-5mm-Stereo-Audio-Cable/dp/B07CZYC81M/ref=sr_1_3?keywords=aux%2Bcord&qid=1557155217&refinements=p_n_feature_keywords_four_browse-bin%3A7623518011&rnid=7623517011&s=aht&sr=1-3&th=1
3,Headphone Audio Jack  Pack of 10, $ 8.99, $ 26.97, https://www.amazon.com/Lsgoodcare-Connector-Terminals-Nuts-3-5MM-Headphone/dp/B013AP77T8/ref=sr_1_15?keywords=aux+female+panel&qid=1557155380&s=aht&sr=1-15
2,48 in. x 96 in. x 1/8 in. Clear Acrylic Sheet, $ 118.00, $ 236.00, https://www.homedepot.com/p/OPTIX-48-in-x-96-in-x-1-8-in-Clear-Acrylic-Sheet-MC-100S/205351353
2,36 in. x 72 in. x .220 in. Acrylic Sheet, $ 136.00, $ 272.00, https://www.homedepot.com/p/OPTIX-36-in-x-72-in-x-220-in-Acrylic-Sheet-MC-24/202038053
2,#8 x 2-1/2 in. T-Star Screws (133 per Box), $ 9.20, $ 18.40, https://www.homedepot.com/p/SPAX-8-x-2-1-2-in-T-Star-Drive-Flat-Head-Partial-Thread-Yellow-Zinc-Coated-Multi-Material-Screw-133-per-Box-4191020400606/202040970
58,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud, $ 2.74, $ 158.92, https://www.homedepot.com/p/2-in-x-4-in-x-92-5-8-in-Prime-Whitewood-Stud-569062/202091224
1,4.5 Gal. Plus 3 Lightweight All-Purpose Pre-Mixed Joint Compound, $ 13.98, $ 13.98, https://www.homedepot.com/p/Sheetrock-4-5-Gal-Plus-3-Lightweight-All-Purpose-Pre-Mixed-Joint-Compound-381466/100321602
2,Standard 1-7/8 in. x 500 ft. White Self-Adhesive Drywall Joint Tape, $ 10.98, $ 21.96, https://www.homedepot.com/p/Saint-Gobain-ADFORS-Standard-1-7-8-in-x-500-ft-White-Self-Adhesive-Drywall-Joint-Tape-FDW8662-U/100401004
2,UltraLight 1/2 in. x 4 ft. x 8 ft. Gypsum Board, $ 12.33, $ 24.66, https://www.homedepot.com/p/Sheetrock-UltraLight-1-2-in-x-4-ft-x-8-ft-Gypsum-Board-14113411708/202530243
462,Smooth Flex Tiles, $ 3.69, $ 1704.78, https://www.rubberflooringinc.com/garage/smooth-flex-tiles.html
1,Extreme-Corrosion-Resistant Wall-Mount Ladder, $ 979.36, $ 979.36, Extreme-Corrosion-Resistant Wall-Mount Ladder
4,3/8 in. x 5 in. Powerlag Hex Drive Washer Head High Corrosion Resistant Coating Lag Screw, $ 1.70, $ 6.80, https://www.homedepot.com/p/SPAX-3-8-in-x-5-in-Powerlag-Hex-Drive-Washer-Head-High-Corrosion-Resistant-Coating-Lag-Screw-4571820101277/202041047
1,PET-A-BOO Pet Window Fence Acrylic Clear Dome 16 in, $ 59.99, $ 59.99, https://www.amazon.com/PET-BOO-Acrylic-Diameter-Curiosity/dp/B073ZKW694/ref=pd_rhf_dp_s_cr_simh_0_7/134-9040081-1883040?_encoding=UTF8&pd_rd_i=B073ZKW694&pd_rd_r=ce64afc4-2643-4ce0-b5f7-7ef3a3a7f976&pd_rd_w=Nawj0&pd_rd_wg=2WQk7&pf_rd_p=31caee8f-ce20-49ad-9f29-d71df297ad52&pf_rd_r=HM26BP9BZMS02Y73GS4M&psc=1&refRID=HM26BP9BZMS02Y73GS4M
1,22 in. L x 22 in. W x 21 1/2 in. D Extra-Large Moving Box, $ 2.38, $ 2.38, https://www.homedepot.com/p/The-Home-Depot-22-in-L-x-22-in-W-x-21-1-2-in-D-Extra-Large-Moving-Box-1001015/202518472
1,Twinkle RGB Fibre Optic Light Ceiling Star Kit, $ 199.50, $ 199.50, https://www.amazon.com/dp/B073CNXZQV/ref=sspa_dk_detail_4?pd_rd_i=B071JLRTP2&pd_rd_w=c4Pb0&pf_rd_p=8a8f3917-7900-4ce8-ad90-adf0d53c0985&pd_rd_wg=zcjE3&pf_rd_r=9S64E9JQ4GRTC26BCY11&pd_rd_r=f93c2990-6b61-11e9-bbed-57e65051719f&th=1
1,EDGELEC 100pcs 5mm RGB Tri-Color, $ 8.99, $ 8.99, https://www.amazon.com/EDGELEC-Tri-Color-Multicolor-Diffused-Resistors/dp/B077XGF3YR/ref=sr_1_3?keywords=rgb+led&qid=1557420126&s=gateway&sr=8-3
1,1/4W 1% Resistor Assortment Kit 10 Ohm - 1M Ohm, $ 9.99, $ 9.99, https://www.amazon.com/REXQualis-Resistor-Assortment-Kit-Values/dp/B07D54XMFK/ref=sr_1_1_sspa?keywords=resistors&qid=1556641219&s=hi&sr=1-1-spons&psc=1
15,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet), $ 16.50, $ 247.50, https://www.amazon.com/Electronix-Express-Hook-Wire-Solid/dp/B00B4ZRPEY/ref=sr_1_1?keywords=solid+wire+22+gauge&qid=1556641489&s=hi&sr=1-1
2,Quartet Glass Whiteboard  Magnetic Dry Erase White Board  2' x 1.5'  Infinity  Black Surface (G2418B), $ 50.69, $ 101.38, https://www.amazon.com/Quartet-Whiteboard-Magnetic-Infinity-G3624B/dp/B00HMCIU88/ref=sr_1_1_sspa?keywords=black%2Bwhite%2Bboard&qid=1556642225&s=gateway&sr=8-1-spons&th=1
1,EXPO 1752226 Neon Dry Erase Markers  Bullet Tip  Assorted Colors  5-Count, $ 7.12, $ 7.12, https://www.amazon.com/Expo-Neon-Dry-Erase-Markers-Bullet-Tip-5-Pack-Assorted-Colors/dp/B0033AGVVG/ref=cm_cr_dp_d_rvw_txt?ie=UTF8&th=1
1,21.5?inch iMac, $ 1099.00, $ 1099.00, https://www.apple.com/shop/buy-mac/imac/21.5-inch-2.3ghz-dual-core-processor-with-turbo-boost-up-to-3.6ghz-1tb#
1,VIVO Black Sit-Stand Wall Mount, $ 99.99, $ 99.99, https://www.amazon.com/VIVO-Gas-Spring-Adjustable-Workstation-STAND-SIT1K/dp/B072KNQJXM/ref=sr_1_3?keywords=keybaord&qid=1556645161&s=electronics&sr=1-3-spell
1,AGS Wireless Laser Projection Bluetooth Virtual Keyboard for Iphone  Ipad  Smartphone and Tablets, $ 35.99, $ 35.99, https://www.amazon.com/AGS-Wireless-Projection-Bluetooth-Smartphone/dp/B00MR26TUO/ref=sr_1_2?keywords=projected+keyboard&qid=1556645277&s=electronics&sr=1-2
1,Magshion Black PU Racing Recliner Chair Set 360 Degree Swivel, $ 169.99, $ 169.99, https://www.amazon.com/Magshion-Racing-Recliner-Ottoman-Theater/dp/B079YZ595K/ref=sr_1_6?keywords=white+futuristic+chair&qid=1556656167&s=gateway&sr=8-6
1,4 x 4 Matrix Array 16, $ 8.99, $ 8.99, https://www.amazon.com/Matrix-Membrane-Switch-Keyboard-Arduino/dp/B015M1CEIC/ref=sr_1_1_sspa?keywords=arduino+keypad&qid=1557337389&s=electronics&sr=1-1-spons&psc=1&smid=A13Q34JY4ZWN5V
1,SunFounder 2004 20x4 LCD Module, $ 20.99, $ 20.99, https://www.amazon.com/SunFounder-Serial-Module-Arduino-Mega2560/dp/B07MTFDHXZ/ref=sr_1_3?crid=1L9TC1LOPO2OC&keywords=arduino%2Bdisplay&qid=1557354705&s=gateway&sprefix=arduino%2Bdisplay%2Caps%2C298&sr=8-3&th=1
1,Metallic AC Disconnect, $ 8.98, $ 8.98, https://www.homedepot.com/p/Halex-60-AMP-120-240-Volt-Non-Fuse-Metallic-AC-Disconnect-HNF60R/205785642
2,1 gal. #ECC-10-2 Jet Black Flat Low Odor Interior Paint and Primer in One, $ 27.98, $ 55.96, https://www.homedepot.com/p/BEHR-Premium-Plus-1-gal-ECC-10-2-Jet-Black-Flat-Low-Odor-Interior-Paint-and-Primer-in-One-130001/204869113
1,3 in. Gripper Plastic Mechanical Test Plug, $ 5.57, $ 5.57, https://www.homedepot.com/p/Oatey-3-in-Gripper-Plastic-Mechanical-Test-Plug-33402/100168770
1,Havana Pieced Mirror Black 24x24 - Opalhouse, $ 49.99, $ 49.99, https://www.target.com/p/havana-pieced-mirror-black-24x24-opalhouse-153/-/A-53019971
1,BDF S05 Window Film Daytime Privacy One Way Mirror Silver, $ 39.99, $ 39.99, https://www.amazon.com/dp/B00FQPGH9W/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B00FQPGH9W&pd_rd_w=OtHU8&pf_rd_p=8a8f3917-7900-4ce8-ad90-adf0d53c0985&pd_rd_wg=d03tv&pf_rd_r=21XD9403NED5B5SB9JSF&pd_rd_r=137f0a2e-7009-11e9-8500-7b430b359b4b
1,24 in. x 3/4 in. x 24 in. Plain Expanded Metal Sheet, $ 19.97, $ 19.97, https://www.homedepot.com/p/Everbilt-24-in-x-3-4-in-x-24-in-Plain-Expanded-Metal-Sheet-801427/204225784
100,Print per page, $ 0.15, $ 15.00, https://lib.byu.edu/faq/244761/
1,Spiral Binding, $ 20.19, $ 20.19, https://www.officedepot.com/catalog/search.do?Ntt=spiral+binding&searchSuggestion=true
1,Blue Paint, $ 34.98, $ 34.98, https://www.homedepot.com/p/BEHR-1-gal-S-H-580-Navy-Blue-Satin-Enamel-Alkyd-Interior-Exterior-Paint-793001/302141254
-,TOTAL,-, $ 15467.32
